id,title,lyrics,genres,artist,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
123,Ai muốn nghe không - dongvui harmony,"Đêm nay không ở nhà, không ở trên giường ngủ
Babe I'm back lại đi về trên con đường cũ
Cảm giác thân thuộc không giống như một người qua đường vì oldschool là nơi ta học mãi nhưng lười ra trường
Nhạc này là nhạc của đêm của mấy người thường chỉ đợi
Đợi cho ngày tàn đêm xuống bắt đầu nằm và nghĩ ngợi
Nhạc của mấy thằng già cỗi nhưng vẫn không thôi mơ
Cứ như là Tom Sawyer những cuộc phiêu lưu đang vẫy gọi
Ta thường hay chớp thời cơ (ooh)
Đợi những ngày trống trải ra biển ngồi để vớt lời thơ
Có khi trong nắng vàng và có khi chớp rồi mưa
Mất bao lâu để mình chấp nhận mình đã khác hồi xưa
Ta thả vần câu như Nguyễn Khuyến, lá vàng trước gió sẽ đưa vèo
Người cần thì cho là đáng giá, không cần thì nó rẻ như bèo
Học cách chấp nhận lời mai mỉa như là tiếng gió rít qua tai
Và thường thì những người hiểu biết lại là người rất ít chê bai
Có những lần muốn viết mà không tìm được câu để mở bài
Có những niềm vui ngắn rồi sau đó là những đêm thở dài
Có những lần dốc sức nhưng không phải để cố mà ghi điểm
Và có một vài bài nhạc được viết ra không hợp để đi diễn
Tự viết tự nghe trong đêm tàn tha hồ mà thi triển
Có biết bao nhiêu điều không biết nói với ai
Ai muốn nghe, muốn nghe không??
Ai muốn nghe, muốn nghe không??
Có biết bao nhiêu điều không biết nói với ai
Ai muốn nghe, muốn nghe không?
Ai muốn nghe, muốn nghe không?
Lao vào đời mà kiếm cơm, lao vào nhạc để giãi bày
Nhưng đôi khi vì không cẩn thận mà lao mẹ vào trong cái bãi lầy
Lớn lên từ nhiều va vấp mà đã vấp và va thì phải trầy
Da tróc vảy có đầy ca xóc nảy nhiều đêm nằm nghĩ nên mãi gầy
Cũng đã bớt đi nhiều mong ước
Ngày xưa viết nhiều năm nữa giờ lại nghĩ về nhiều năm trước
Chẳng có gì phải nghĩ cũng chẳng muốn phải nghĩ gì nhiều
Hồi đó cũng chỉ vì liều lênh đênh trôi theo chiều con nước
Ngày trước ngại không ai nghe giờ thì ngại làm fan thất vọng
Và đó là điều dễ hiểu, họ và mình cùng đang cất giọng
Cùng khan mất giọng đôi khi lo sợ tan giấc mộng
Vẫn chỉ là thân cây đó nhưng khu rừng đã lan rất rộng
Trong rừng có nai, có thỏ, có sói, có hổ, và rắn
Có loài giậu đổ bìm leo, có loài nhảy bổ vào cắn
Có loài ăn không nói có, có loài thừa nước đục thả câu
Miệng thì cười, tay thì bắt, dao thì kề trước ngực đã lâu
Rốt cuộc chỉ là cuộc vui, hết vui nhà ai nấy về (yeah)
Rốt cuộc tin vào bản thân trước khi tin lời ai đấy thề
Sông có khúc, người có lúc, chỉ cầu một chút vui
Nếu như đây là một cuộc đua, ta xin cho phép mình rút lui
Goodbye babe ah
Ai cũng nghĩ mình thật to tát đến khi đời cho cái tát to
Những điều mày tưởng mày biết hết thật ra chỉ là được phát cho
Họ nói mỗi người một hạt cát nhưng có hạt cát nhỏ hạt cát to
So với chính mình ngày hôm trước đừng lấy cuộc đời người khác đo
Oh
Cũng chỉ là chút le lói rơi vãi từ cái giếng trời con
Từng là con cá nhỏ rồi trở thành một miếng mồi ngon
Chìm vào một mớ bòng bong
Ngày nào chợt nhớ dòng sông
Có biết bao nhiêu điều không biết nói với ai
Ai muốn nghe, muốn nghe không?
Ai muốn nghe, muốn nghe không?
Có biết bao nhiêu điều không biết nói với ai
Ai muốn nghe, muốn nghe không?
Ai muốn nghe, muốn nghe không?
Ah yeah
Sáng nay dậy bỗng thấy thèm đi đâu đó
Một vài chuyện đã chôn vùi sao hôm nay thi nhau ló?
Có thứ làm mình mỉm cười, cũng có thứ nhiều khi cau có
Tưởng rằng mình cũng đã quên nhưng sâu thẳm đã ghi sâu nó
Sáng nay dậy bỗng nhớ núi và nhớ rừng
Nhớ con đường mòn vẹt, nhớ cái mệt và nhớ từng hành trình đã đi qua hết, hành trình đã tìm cớ ngừng
Tự dặn mình đường còn xa đó đừng chớ mừng
Nhớ năm đó ngày mưa mình ướt sũng từ trong ra ngoài
Trời thật nhiều mây xám, em thơm hệt một bông hoa nhài
Đến bây giờ vẫn lạnh lạnh buốt từ bên ngoài vào trong
Ngoài trời không có chút gió sao lòng cứ thấy phong ba hoài?
Giống như châm lửa ngay đống củi
Khi nỗi nhớ bùng lên nó làm cho mình cay sống mũi
Anh không ra khơi nhưng anh nghĩ mình say sóng rồi
Sáng nay bỗng thấy thèm nắm tay em bàn tay nóng hổi yah
Sáng nay trong mắt nhiều sương mù như Tam Đảo
Tình đắng như củ tam thất nhưng có lúc ngọt như cam thảo
Rơi vào trong tình yêu mà không có lót lấy tấm thảm nào
Nhưng anh sẽ nhớ em (anh nhớ không?)
Anh đảm bảo
Có biết bao nhiêu điều không biết nói với ai
Ai muốn nghe, muốn nghe không?
Ai muốn nghe, muốn nghe không?
Có biết bao nhiêu điều không biết nói với ai
Ai muốn nghe, muốn nghe không?
Ai muốn nghe, muốn nghe không?
Có biết bao nhiêu điều không biết nói với ai
Ai muốn nghe, muốn nghe không?
Ai muốn nghe, muốn nghe không?
Có biết bao nhiêu điều không biết nói với ai
Ai muốn nghe, muốn nghe không?
Ai muốn nghe, muốn nghe không?
Có biết bao nhiêu điều không biết nói với ai
Ai muốn nghe, muốn nghe không?
Ai muốn nghe, muốn nghe không?
Có biết bao nhiêu điều không biết nói với ai
Ai muốn nghe, muốn nghe không?
Ai muốn nghe, muốn nghe không?","Nhạc rap, Nhạc trẻ",Đen,dongvui harmony,0.708,0.408,0.193,0.528,0.112,-19.728,0.0396,87.845,0.296
199,Ai Thương Con Nhiều Hơn,,Nhạc thiếu nhi,Nguyệt Hằng,Nhong Nhong Nhong,0.192,0.712,0.497,2.44e-06,0.198,-5.54,0.0295,81.878,0.563
133,Anh Ba Hưng,"Có anh Ba Hưng vốn thiệt nông dân
Đi lính hơn năm trường vừa mới được huân chương
Thằng Sáu thấy anh nó mừng, thiệt thằng nhỏ xíu mà khôn
Nó khen, nó khen anh hoài, nó nói rằng anh có tài, nó nói mới một năm nay
Mà anh đã bắn, giết Tây hơn trăm thằng
Diệt trừ quân Pháp sài lang, diệt trừ đế quốc sài lang
Nó vô bắn phá nát tan xóm mình
Láng giềng hỏi thăm sự tình
Tôi nói có anh Ba Hưng vốn thiệt nông dân
Đi lính hơn năm trường vừa mới được huân chương
Có anh Ba Hưng vốn thiệt nông dân
Đi lính hơn năm trường vừa mới được huân chương
Thằng Sáu thấy anh nó mừng, thiệt thằng nhỏ xíu mà khôn
Nó khen, nó khen anh hoài, nó nói rằng anh có tài, nó nói mới một năm nay
Mà anh đã bắn, giết Tây hơn trăm thằng
Diệt trừ quân Pháp sài lang, diệt trừ đế quốc sài lang
Nó vô bắn phá nát tan xóm mình
Láng giềng hỏi thăm sự tình
Tôi nói có anh Ba Hưng vốn thiệt nông dân
Đi lính hơn năm trường vừa mới được huân chương
♪
Có anh Ba Hưng vốn thiệt nông dân
Đi lính hơn năm trường vừa mới được huân chương
Thằng Sáu thấy anh nó mừng, thiệt thằng nhỏ xíu mà khôn
Nó khen nó khen anh hoài, nó nói rằng anh có tài, nó nói mới một năm nay
Mà anh đã bắn, giết Tây hơn trăm thằng
Diệt trừ quân Pháp sài lang, diệt trừ đế quốc sài lang
Nó vô bắn phá nát tan xóm mình
Láng giềng hỏi thăm sự tình
Tôi nói có anh Ba Hưng vốn thiệt nông dân
Đi lính hơn năm trường vừa mới được huân chương
Có anh Ba Hưng vốn thiệt nông dân
Đi lính hơn năm trường vừa mới được huân chương
Thằng Sáu thấy anh nó mừng, thiệt thằng nhỏ xíu mà khôn
Nó khen nó khen anh hoài, nó nói rằng anh có tài, nó nói mới một năm nay
Mà anh đã bắn, giết Tây hơn trăm thằng
Diệt trừ quân Pháp sài lang, diệt trừ đế quốc sài lang
Nó vô bắn phá nát tan xóm mình
Láng giềng hỏi thăm sự tình
Tôi nói có anh Ba Hưng vốn thiệt nông dân
Đi lính hơn năm trường vừa mới được huân chương
Tôi nói có anh Ba Hưng vốn thiệt nông dân
Đi lính hơn năm trường vừa mới được huân chương
Tôi nói có anh Ba Hưng vốn thiệt nông dân
Đi lính hơn năm trường vừa mới được huân chương
Tôi nói có anh Ba Hưng vốn thiệt nông dân
Đi lính hơn năm trường vừa mới được huân chương","Nhạc cách mạng, Nhạc trữ tình, Nhạc quê hương",Cẩm Ly,Cô gái mở đường,0.739,0.798,0.791,0.0,0.315,-8.197,0.0466,120.048,0.808
124,Anh Đếch Cần Gì Nhiều Ngoài Em - dongvui harmony,"Và anh đếch cần gì nhiều ngoài em
Và anh đếch cần gì nhiều ngoài em
Và anh đếch cần gì nhiều ngoài em
Và anh đếch cần gì nhiều ngoài em
Anh như con cáo, em như một cành nho xanh
Khi em còn trẻ và đẹp, em lại không dành cho anh
Trong lòng anh là kho xăng, nụ cười em là mồi lửa
Em phá vỡ đi quy tắc, rồi bỏ mặc anh ngồi sửa
Anh như biến thành người nhện vì trong lòng nhiều tơ vương
Nhớ em tốn nhiều calo, thế nên anh gầy trơ xương
Ở trong xóm anh rất ngoan, chẳng ai thấy anh say mềm
Mẹ anh dặn anh đủ thứ nhưng quên dặn đừng say em
Như con cuốn chiếu, anh có rất nhiều chân thật
Bài hát này ngọt vì đám tụi anh rất thân mật
Anh như con cáo và em vẫn cành nho xanh
Nhưng mà em trẻ và đẹp, em lại không dành cho anh
Ta đã đi tìm về thương nhớ
Ta đã đi tìm, đi tìm, đi tìm
Ta đã đi tìm về quá khứ
Ta cứ đi tìm, đi tìm, đi tìm
Và anh đếch cần gì nhiều ngoài em
Ôi một giấc mơ chơi vơi nhiều đêm
Và anh đếch cần gì nhiều ngoài em
Thương một giấc mơ ôm ta nhiều đêm
Một ngày cùng em uống đến thoáng say là đủ
Kệ đời ngả nghiêng, mình nằm dưới tán cây mà ngủ
Sẽ thật là tuyệt nếu rơi vào một chiều thu
Anh cưa em đổ em gọi anh là ""tiều phu""
Anh có thể có danh tiếng nếu như mặt anh dày thêm
Anh có thể có nhiều tiền nếu anh cày ngày cày đêm
Nhưng như một giấc mơ bị em chối bỏ trong chiều
Anh không có được em dù cho cố bỏ công nhiều
Nồng độ cồn em bao nhiêu, sao cứ làm anh lảo đảo?
Em chỉ mang lại chua cay như là gói mì Hảo Hảo
Một lần chơi lớn để xem em có trầm trồ
Vì yêu em anh như mang hết con tim đi cầm đồ
Và anh đếch cần gì nhiều ngoài em
Ôi một giấc mơ chơi vơi nhiều đêm
Và anh đếch cần gì nhiều ngoài em
Thương một giấc mơ ôm ta nhiều đêm
Và anh đếch cần gì nhiều ngoài em
Và anh đếch cần gì nhiều ngoài em
Và anh đếch cần gì nhiều ngoài em
Và anh đếch cần gì nhiều ngoài em
Và anh đếch cần gì nhiều ngoài em
Và anh đếch cần gì nhiều ngoài em
Và anh đếch cần gì nhiều ngoài em
Và anh đếch cần gì nhiều ngoài em","Nhạc trẻ, Nhạc rap",Đen,dongvui harmony,0.738,0.182,0.212,0.711,0.104,-11.068,0.0321,95.882,0.16
74,Anh Ghét Làm Bạn Em,"Nhìn em đang thật vui sánh đôi bên người
Anh không biết giờ đây trái tim nghĩ gì
Mà làm anh buồn quá và lại đau nhiều thế
Nhưng anh cố gượng cười
Phải chi anh đã nói anh yêu em nhiều
Ngày đôi ta gần nhau và em vẫn chưa yêu người
Một người đến sau anh lại hạnh phúc hơn anh
Vì đã có em
Em có biết
Anh đã yêu bao nhiêu lâu nay luôn giữ trong tim mà đâu dám nói
Cứ nghĩ em như anh yêu thương thôi đâu nhất thiết phải nói thành lời
Đôi khi anh hay như ngố làm trò
Anh chỉ muốn mang cho em nụ cười
Thế được rồi
Nhưng đâu hay em không giữ điều gì
Anh nuối tiếc
Những lúc ta bên nhau thênh thang vui như giấc mơ giờ đây chấm hết
Ấm áp em bên ai trong đêm sắc hoa chắc không còn nhớ một người
Trông mong chi khi em nói từng lời
""Bên anh vui nhưng ta chỉ là bạn""
Anh hiểu rồi
Nhưng thật lòng I hate being your friend! (I hate being your friend)
I love you baby (I love you baby)
I hate being your friend (your friend, your friend)
Từ khi anh hiểu là mất em mãi rồi
Anh đã cố rời bỏ em để không phải mang thêm nghĩ ngợi
Mà nhiều lúc không vui
Người lại muốn nói anh nghe
Anh lại không đành lòng (Anh lại không đành lòng)
Anh không thích phải thấy em say đắm trong vòng tay người
Vì điều ấy gần như khiến cho nỗi đau anh lớn dần
Một người mãi vô tâm
Một người hoài đứng xa xăm
Chẳng biết bao giờ chuyện này mới dừng lại (Baby, I hope you know)
Em có biết
Anh đã yêu bao nhiêu lâu nay luôn giữ trong tim mà đâu dám nói
Cứ nghĩ em như anh yêu thương thôi đâu nhất thiết phải nói thành lời
Đôi khi anh hay như ngố làm trò
Anh chỉ muốn mang cho em nụ cười
Thế được rồi
Nhưng đâu hay em không giữ điều gì
Anh nuối tiếc
Những lúc ta bên nhau thênh thang vui như giấc mơ giờ đây chấm hết
Ấm áp em bên ai trong đêm sắc hoa chắc không còn nhớ một người
Trông mong chi khi em nói từng lời
""Bên anh vui nhưng ta chỉ là bạn""
Anh hiểu rồi
Nhưng thật lòng I hate being your friend
Em có biết
Anh đã yêu bao nhiêu lâu nay luôn giữ trong tim mà đâu dám nói
Cứ nghĩ em như anh yêu thương thôi đâu nhất thiết phải nói thành lời
Đôi khi anh hay như ngố làm trò
Anh chỉ muốn mang cho em nụ cười
Thế được rồi
Nhưng đâu hay em không giữ điều gì
Anh nuối tiếc
Những lúc ta bên nhau thênh thang vui như giấc mơ giờ đây chấm hết
Ấm áp em bên ai trong đêm sắc hoa chắc không còn nhớ một người
Trông mong chi khi em nói thành lời
""Bên anh vui nhưng ta chỉ là bạn""
Anh hiểu rồi
Nhưng thật lòng I hate being your friend (I hate being your friend)
I love you baby (I love you baby)
I miss you baby
I hate being your friend (your friend, your friend)
Nhìn em đang thật vui sánh đôi bên người
Anh không biết giờ đây trái tim nghĩ gì
Mà làm anh buồn quá và lại đau nhiều thế
Nhưng anh cố gượng cười","Nhạc Pop, Nhạc trẻ",Phan Mạnh Quỳnh,Anh Ghét Làm Bạn Em,0.574,0.675,0.642,0.0682,0.286,-8.496,0.0347,129.975,0.52
87,anh nhà ở đâu thế,"Anh và tôi thật ra gặp nhau và quen nhau cũng đã được mấy năm
Mà chẳng có chi hơn lời hỏi thăm
Rằng giờ này đã ăn sáng chưa?
Ở bên đấy nắng hay mưa?
Anh và tôi thật ra, uhm-hm, mải mê nhìn lén nhau
Và không một ai nói nên câu, uhm-mm
Rằng người ơi, tôi đang nhớ anh
Và anh có nhớ tôi không?
Tôi từ lâu đã thích anh rồi
Chỉ mong hai ta thành đôi
Anh nhà ở đâu thế?
Cứ tới lui trong tim tôi chẳng nhớ đường về, ah
Cứ khiến cho tôi ngày đêm phải khóc rồi cười vì nhớ một người
Khiến trái tim tôi lâu nay tương tư về anh đấy
Chỉ muốn anh có thể nghe được hết tâm tư này
Nhưng lại sợ anh từ chối
Muốn nói rồi lại thôi
Nên anh và tôi vẫn thế
Hey anh nhà ở đâu thế
Ngay từ giây đầu tiên là tôi đã biết anh thích tôi rồi
Mà tôi vờ như chẳng hay, chẳng quan tâm anh đến nửa lời
Con trai gì mà kì ghê, con trai thời này ngộ ghê
Thích người ta mà chẳng dám nói, cứ vậy thôi bước chung một đường
Anh ơi, anh nhà ở đâu tôi ở nhà kế bên
Mà sao lâu nay lâu nay lâu nay ta vẫn chưa hỏi thăm bao giờ, bao giờ
Thật là chẳng hay anh nay đã có người yêu chưa?
Vì tôi từ lâu đã thích anh rồi
Chỉ mong hai ta thành đôi
Anh nhà ở đâu thế?
Cứ tới lui trong tim tôi chẳng nhớ đường về
Cứ khiến cho tôi ngày đêm phải khóc rồi cười vì nhớ một người
Khiến trái tim tôi lâu nay tương tư về anh đấy
Chỉ muốn anh có thể nghe được hết tâm tư này
Nhưng lại sợ anh từ chối
Muốn nói rồi lại thôi
Nên anh và tôi vẫn thế
Ấp úng mấy câu thương nhau nhưng không nói gì
Nên anh và tôi vẫn thế
Vẫn chẳng thể đi bên nhau cùng chung lối về
Thật buồn ghê
Nên anh và tôi vẫn thế
Hey anh nhà ở đâu thế","Nhạc trẻ, Nhạc Acoustic",AMEE,dreAMEE (acoustic),0.657,0.814,0.453,1.34e-06,0.245,-7.204,0.11,125.997,0.566
163,Ánh Sáng Đời Tôi,,Nhạc trữ tình,Lệ Quyên,Tình Khúc Yêu Thương,0.863,0.436,0.502,0.0,0.0937,-4.0,0.0331,135.568,0.285
62,Ánh Trăng,Chưa có lời bài hát,"Nhạc quê hương, Nhạc trữ tình",Trung Đức,Về Thăm Quê Mệ,0.826,0.217,0.16,1.67e-05,0.282,-16.613,0.0471,78.028,0.136
80,Anh Vẫn Chờ Em,"Ngày nào em đến mang theo một mối tình nồng
Từng vòng tay ấm ru anh lạc trong cõi mộng
Ngàn ngày ưu ái bước thiên đường vai sánh vai
Xin được một lần tình không đổi thay
Từ dạo xa vắng em quên dần những hẹn thề
Anh ngu ngơ nếm men cay tình si não nề
Một lần tan vỡ sẽ muôn đời mang thương nhớ
Khẽ trách con tim vì quá dại khờ
Thiên đường là đâu hỡi em?
Khi bao dấu yêu cũng đành mãi xa bên đời
Đôi tay ôm lấy nỗi đau giọt đắng rã rời
Mãi nuôi hy vọng một ngày xuân mới
Em tìm về thăm chốn xưa
Gợi bao dấu yêu khi anh lặng lẽ xót thương
Cho đôi tim khóc khi vai kề vai ấm nồng
Lệ tình rơi ướt tháng ngày nhớ mong
Ngày nào em đến mang theo một mối tình nồng
Từng vòng tay ấm ru anh lạc trong cõi mộng
Ngàn ngày ưu ái bước thiên đường vai sánh vai
Xin được một lần tình không đổi thay
Từ dạo xa vắng em quên dần những hẹn thề
Anh ngu ngơ nếm men cay tình si não nề
Một lần tan vỡ sẽ muôn đời mang thương nhớ
Khẽ trách con tim vì quá dại khờ
Thiên đường là đâu hỡi em?
Khi bao dấu yêu cũng đành mãi xa bên đời
Đôi tay ôm lấy nỗi đau giọt đắng rã rời
Mãi nuôi hy vọng một ngày xuân mới
Em tìm về thăm chốn xưa
Gợi bao dấu yêu khi anh lặng lẽ xót thương
Cho đôi tim khóc khi vai kề vai ấm nồng
Lệ tình rơi ướt tháng ngày nhớ mong
Cho đôi tim khóc khi vai kề vai ấm nồng
Lệ tình rơi ướt tháng ngày nhớ mong",Nhạc trữ tình,Đàm Vĩnh Hưng,Tình Yêu Còn Đâu,0.528,0.572,0.144,0.0197,0.0804,-26.396,0.0293,83.771,0.425
188,Ao Cá Đợi Chờ,,Nhạc trữ tình,Dương Ngọc Thái,Hờn Trách Con Đò,0.103,0.398,0.58,0.0,0.206,-5.113,0.0303,179.6,0.543
